unit_id,w0,A,B,failure_cycle
1,0.04873,0.00966,0.01678,274
2,0.07073,0.00766,0.01428,337
3,0.06462,0.00994,0.00954,478
4,0.06203,0.00767,0.00995,485
5,0.06362,0.00878,0.01608,292
6,0.07094,0.00536,0.01793,288
7,0.04551,0.00427,0.01405,386
8,0.0643,0.00964,0.01122,409
9,0.04684,0.00699,0.01833,269
10,0.03293,0.00514,0.00989,531
11,0.03169,0.00715,0.01024,481
12,0.04704,0.00586,0.01218,419
13,0.07128,0.00956,0.01764,261
14,0.06187,0.00917,0.01503,309
15,0.07282,0.00517,0.01271,409
16,0.03201,0.00683,0.00906,549
17,0.05175,0.00378,0.00969,570
18,0.05021,0.00843,0.01944,244
19,0.07952,0.00477,0.01366,386
20,0.0363,0.00457,0.00927,578
21,0.03643,0.00989,0.0153,301
22,0.05608,0.00413,0.01442,377
23,0.05636,0.00528,0.01092,476
24,0.05903,0.00386,0.01361,404
25,0.0473,0.00591,0.01757,291
26,0.07708,0.00857,0.01468,319
27,0.07644,0.00399,0.01276,428
28,0.04479,0.00656,0.00961,521
29,0.04634,0.00349,0.01868,301
30,0.07629,0.00441,0.00898,597
